source, target
“Quy tắc: + Z = X | Thay thế: X bằng “” ngựa “”, Z bằng “” việt quất “"”, + việt quất = ngựa
“Quy tắc: Y X Y * + + | Thay thế: X bằng “” cá voi “”, Y bằng “” kiwi “”, kiwi cá voi kiwi * +
“Quy tắc: * X + - X Z | Thay thế: X bằng “” blackberry “”, Z bằng “” chuối “"”, * blackberry + - blackberry chuối
“Quy tắc: Z = - + Z | Thay thế: Z bằng “” chuối táo “"”, chuối táo = - + chuối táo
“Quy tắc: - X X * | Thay thế: X bằng “” sư tử “"”, - sư tử sư tử *
“Quy tắc: = X - Z Y * | Thay thế: X bằng “” nho chuột “”, Y bằng “” kiwi dưa hấu “”, Z bằng “” quả việt quất táo “"”, = nho chuột - táo việt quất dưa hấu kiwi *
“Quy tắc: + X + = Z | Thay thế: X bằng “" táo "”, Z bằng “" chuối trâu "”, + táo + = chuối trâu
“Quy tắc: X + - = Z | Thay thế: X bằng “” dưa hấu “”, Z bằng “” dưa hấu lê “"”, dưa hấu + - = lê dưa hấu
“Quy tắc: = + X Y Z | Thay thế: X bằng “” sư tử “”, Y bằng “” sư tử rắn hổ mang “”, Z bằng “” quả táo việt quất “"”, = + sư tử rắn hổ mang sư tử quả táo việt quất
“Quy tắc: Z * Y - | Thay thế: Y bằng “” dâu tây “”, Z bằng “” rắn hổ mang cò “"”, rắn hổ mang cò * dâu tây -
“Quy tắc: Z Y - * Z | Thay thế: Y bằng “” đào “”, Z bằng “” cò “"”, cò đào - * cò
“Quy tắc: X X Y + + - | Thay thế: X bằng “” chim cánh cụt kiwi “”, Y bằng “” chuối “"”, chim cánh cụt kiwi chim cánh cụt kiwi chuối + -
“Quy tắc: - = X Z | Thay thế: X bằng “” ngựa ngựa “”, Z bằng “” sư tử blackberry “"”, - = ngựa ngựa blackberry sư tử
“Quy tắc: Y * = Z | Thay thế: Y bằng “” nho blackberry “”, Z bằng “” rắn hổ mang “"”, nho blackberry * = rắn hổ mang
“Quy tắc: = Y - X | Thay thế: X bằng “" cò "”, Y bằng “" ngựa cá voi "”, = ngựa cá voi - cò
“Quy tắc: Z X X * * + | Thay thế: X bằng “” chuối “”, Z bằng “” rắn hổ mang lê “"”, rắn hổ mang lê chuối chuối * * +
“Quy tắc: Y + X Z * * * | Thay thế: X bằng “” lê “”, Y bằng “” cá mập “”, Z bằng “” sư tử blackberry “"”, cá mập + sư tử dâu đen lê * *
“Quy tắc: X Z + - = | Thay thế: X bằng “” đào dâu đen “”, Z bằng “” nho đào “"”, nho đào dâu đen + - =
“Quy tắc: Z * = + Z X | Thay thế: X bằng “” kiwi “”, Z bằng “” cá voi rắn hổ mang “"”, cá voi rắn hổ mang * = + cá voi rắn hổ mang kiwi
“Quy tắc: - X Z + Z | Thay thế: X bằng “” dưa hấu “”, Z bằng “” đào “"”, - dưa hấu đào + đào
“Quy tắc: Z = * Y - X | Thay thế: X bằng “" con dấu sư tử "”, Y bằng “" kiwi trâu "”, Z bằng “" hải cẩu chim cánh cụt "”, chim cánh cụt hải cẩu = * trâu kiwi - hải cẩu sư tử
“Quy tắc: Z - X X = | Thay thế: X bằng “” dâu tây “”, Z bằng “” kiwi việt quất “"”, kiwi việt quất - dâu tây =
“Quy tắc: Y + X + Z | Thay thế: X bằng “” lê chuột “”, Y bằng “” nho blackberry “”, Z bằng “” ngựa vằn dưa hấu “”, nho blackberry + lê chuột + ngựa vằn dưa hấu
“Quy tắc: * X + * Y | Thay thế: X bằng “” cá voi sư tử “”, Y bằng “” chuối lê “"”, * cá voi sư tử + * chuối lê
“Quy tắc: Z Z = Z | Thay thế: Z bằng “” chuối “"”, chuối chuối = = chuối
“Quy tắc: X Z + * X | Thay thế: X bằng “" ngựa "”, Z bằng “" cá voi "”, cá voi ngựa + * ngựa
“Quy tắc: Z + = Z | Thay thế: Z bằng “” cá voi dưa hấu “"”, cá voi dưa hấu + = cá voi dưa hấu
“Quy tắc: Y Z X - + | Thay thế: X bằng “” đại bàng dưa hấu “”, Y bằng “” cá mập “”, Z bằng “” cá voi táo “"”, cá mập táo cá voi đại bàng dưa hấu - +
“Quy tắc: X X * = | Thay thế: X bằng “” chuột táo “"”, chuột táo táo * =
“Quy tắc: X X = Z - | Thay thế: X bằng “” sư tử “”, Z bằng “” con dấu “"”, sư tử = con dấu -
“Quy tắc: = + Y Y | Thay thế: Y bằng “” con dấu rắn hổ mang “"”, = + con dấu rắn hổ mang
“Quy tắc: Z Z = + Z | Thay thế: Z bằng “” cò dâu “"”, cò dâu tây = + cò dâu tây
“Quy tắc: * Y * Y Y - | Thay thế: Y bằng “” nho dâu “"”, * nho dâu tây * nho dâu tây nho dâu tây -
“Quy tắc: Y Z - Y + | Thay thế: Y bằng “” cá voi “”, Z bằng “” sư tử “"”, sư tử cá voi - cá voi +
“Quy tắc: * Z * Z + | Thay thế: Z bằng “” chim cánh cụt “"”, * chim cánh cụt * chim cánh cụt +
“Quy tắc: Z * Z * Z - | Thay thế: Z bằng “” kiwi “"”, kiwi * kiwi * kiwi -
“Quy tắc: = X = - Z | Thay thế: X bằng “” việt quất “”, Z bằng “” ngựa cá voi “"”, = việt quất = - ngựa cá voi
“Quy tắc: + - X Y | Thay thế: X bằng “” ngựa vằn trâu “”, Y bằng “” dâu dưa hấu “"”, + - trâu ngựa vằn dưa hấu dâu
“Quy tắc: Z - Z | Thay thế: Z bằng “” con dấu sư tử “"”, con dấu sư tử - - con dấu sư tử
“Quy tắc: = Y Y Y - | Thay thế: Y bằng “” đào “"”, = đào đào -
“Quy tắc: Y Y = * Y - | Thay thế: Y bằng “” ngựa vằn “"”, ngựa vằn = * ngựa vằn -
“Quy tắc: + = = Y Y | Thay thế: Y bằng “” chuột “"”, + = = chuột
“Quy tắc: - Z Y = + | Thay thế: Y bằng “” đại bàng “”, Z bằng “” con dấu blackberry “"”, - blackberry seal eagle = +
“Quy tắc: X = Y X = | Thay thế: X bằng “” cá voi việt quất “”, Y bằng “” rắn hổ mang dâu “"”, cá voi việt quất = cá voi việt quất dâu =
“Quy tắc: * X + * X Y | Thay thế: X bằng “” ngựa blackberry “”, Y bằng “” dưa hấu cá voi “"”, * ngựa dâu đen + * dưa hấu cá voi đen
“Quy tắc: = = X X = | Thay thế: X bằng “” chim cánh cụt dưa hấu “"”, = = dưa hấu chim cánh cụt dưa hấu chim cánh cụt =
“Quy tắc: - = Z Y | Thay thế: Y bằng “” dâu sư tử “”, Z bằng “” ngựa “"”, - = ngựa sư tử dâu
“Quy tắc: * Z X + X - | Thay thế: X bằng “" chuối trâu "”, Z bằng “" sư tử sư tử "”, * sư tử sư tử trâu chuối + trâu chuối -
“Quy tắc: X = * Z - | Thay thế: X bằng “” rắn hổ mang đại bàng “”, Z bằng “” apple blackberry “"”, rắn hổ mang đại bàng = * apple blackberry -
“Quy tắc: + X - Z | Thay thế: X bằng “" cò dưa hấu "”, Z bằng “" trâu ngựa vằn "”, + dưa hấu cò - trâu ngựa vằn
“Quy tắc: - Y * X Z | Thay thế: X bằng “" chuối "”, Y bằng “" ngựa vằn lê "”, Z bằng “" trâu "”, - lê ngựa vằn * chuối trâu
“Quy tắc: X Y = * - Y | Thay thế: X bằng “” rắn hổ mang dưa hấu “”, Y bằng “” blackberry “”, dưa hấu rắn hổ mang blackberry = * - blackberry
“Quy tắc: Z = X + | Thay thế: X bằng “” chuối việt quất “”, Z bằng “” nho “"”, nho = chuối việt quất +
“Quy tắc: X = X + | Thay thế: X bằng “” cá voi “"”, cá voi = cá voi +
“Quy tắc: - Y = Z | Thay thế: Y bằng “” quả việt quất chuột “”, Z bằng “” sư tử việt quất “"”, - chuột việt quất = sư tử việt quất
“Quy tắc: * + X X Y | Thay thế: X bằng “” chuột sư tử “”, Y bằng “” chuối “"”, * + sư tử chuột chuột chuối
“Quy tắc: Z * + Z Z | Thay thế: Z bằng “” lê dâu “"”, lê dâu tây * + lê dâu tây lê
“Quy tắc: * Z Y = + Z | Thay thế: Y bằng “” sư tử blackberry “”, Z bằng “” con dấu “"”, * con dấu sư tử blackberry = + con dấu
“Quy tắc: - - Y * Y | Thay thế: Y bằng “” đào ngựa “"”, - - đào ngựa * đào ngựa
“Quy tắc: + Z X Z - + | Thay thế: X bằng “” việt quất “”, Z bằng “” dưa hấu cò “"”, + cò dưa hấu việt quất dưa hấu - +
“Quy tắc: Y + X - | Thay thế: X bằng “” chim cánh cụt dâu tây “”, Y bởi “” cá voi chim cánh cụt “"”, cá voi chim cánh cụt + chim cánh cụt dâu tây -
“Quy tắc: Z Y * - + | Thay thế: Y bằng “” con dấu “”, Z bằng “” cá mập “"”, hải cẩu cá mập * - +
“Quy tắc: - Z * Y X - | Thay thế: X bằng “” kiwi chuột “”, Y bằng “” dưa hấu đào “”, Z bằng “” cá mập dưa hấu “”, - cá mập dưa hấu * đào dưa hấu chuột kiwi -
“Quy tắc: = + X + Z | Thay thế: X bằng “” kiwi blackberry “”, Z bằng “” chuột “”, = + kiwi blackberry + chuột
“Quy tắc: * Z - Y | Thay thế: Y bằng “” dưa hấu “”, Z bằng “” dưa hấu dâu “"”, * dưa hấu dâu tây - dưa hấu
“Quy tắc: Z Y = * X | Thay thế: X bằng “" chuối trâu "”, Y bằng “" nho "”, Z bằng “" ngựa trâu ""”, trâu ngựa nho = * chuối trâu
“Quy tắc: + Y X * | Thay thế: X bằng “” chuối “”, Y bằng “” cá voi rắn hổ mang “"”, + chuối cá voi rắn hổ mang *
“Quy tắc: + Y Z Y + * | Thay thế: Y bằng “” chim cánh cụt kiwi “”, Z bởi “” ngựa vằn “"”, + chim cánh cụt kiwi ngựa vằn kiwi chim cánh cụt kiwi + *
“Quy tắc: = Z + * Y | Thay thế: Y bằng “” sư tử “”, Z bằng “” đào kiwi “"”, = đào kiwi + * sư tử
“Quy tắc: Y Y + Y - | Thay thế: Y bằng “” cá voi rắn hổ mang “"”, cá voi rắn hổ mang + cá voi rắn hổ mang -
“Quy tắc: * = X * Z X | Thay thế: X bằng “” dâu ngựa “”, Z bằng “” nho “"”, * = dâu ngựa* dâu tây ngựa nho
“Quy tắc: = Y Z = * X | Thay thế: X bằng “” đại bàng đại bàng “”, Y bằng “” ngựa vằn chuối “”, Z bằng “” việt quất “"”, = chuối ngựa vằn việt quất = * đại bàng đại bàng
“Quy tắc: X + X + = X | Thay thế: X bằng “” sư tử “"”, sư tử + sư tử + = sư tử
“Quy tắc: Z X X * - = | Thay thế: X bằng “” rắn hổ mang đào “”, Z bằng “” con dấu cò “"”, cò hải cẩu đào rắn hổ mang đào rắn hổ mang * - =
“Quy tắc: Y * Y X + - | Thay thế: X bằng “” cá voi cá mập “”, Y bởi “” ngựa vằn “"”, ngựa vằn * cá mập ngựa vằn + -
“Quy tắc: - - X Y | Thay thế: X bằng “" đại bàng ngựa "”, Y bằng “" trâu "”, - - trâu đại bàng ngựa
“Quy tắc: * + = Y Z | Thay thế: Y bằng “” cá mập blackberry “”, Z bằng “” ngựa “"”, * + = cá mập đen ngựa
“Quy tắc: = Y = Y Y | Thay thế: Y bằng “” chim cánh cụt “"”, = chim cánh cụt = chim cánh cụt
“Quy tắc: X * - Y | Thay thế: X bằng “” việt quất “”, Y bằng “” chuối đào “"”, việt quất * - chuối đào
“Quy tắc: + = Z - Y X | Thay thế: X bằng “" chuối trâu "”, Y bằng “" kiwi "”, Z bằng “" rắn hổ mang dưa hấu "”, + = dưa hấu rắn hổ mang - trâu chuối kiwi
“Quy tắc: = * X * Y | Thay thế: X bằng “” nho “”, Y bằng “” lê kiwi “"”, = * nho * kiwi lê
“Quy tắc: - X = Y Z | Thay thế: X bằng “” táo “”, Y bằng “” sư tử cò “”, Z bằng “” quả táo chim cánh cụt “"”, - apple = cò sư tử chim cánh cụt táo
“Quy tắc: Z - = Z Z + | Thay thế: Z bằng “” lê blackberry “"”, lê blackberry - = lê blackberry lê blackberry +
“Quy tắc: X * - = X | Thay thế: X bằng “” dâu tây “"”, dâu tây dâu tây * - = dâu tây
“Quy tắc: Z X + + + | Thay thế: X bằng “” kiwi cá voi “”, Z bằng “” chuột “"”, cá voi chuột kiwi + + +
“Quy tắc: Y Z Y * - - | Thay thế: Y bằng “” đại bàng “”, Z bằng “” sư tử “"”, đại bàng sư tử đại bàng * - -
“Quy tắc: Z = Z - + X | Thay thế: X bằng “” đào “”, Z bằng “” ngựa “"”, ngựa = ngựa - + đào
“Quy tắc: Z Z * - Y | Thay thế: Y bằng “” ngựa dâu “”, Z bằng “” ngựa vằn “"”, ngựa vằn * - ngựa dâu
“Quy tắc: Y = + X Y | Thay thế: X bằng “” sư tử kiwi “”, Y bằng “” đại bàng “"”, đại bàng = + đại bàng sư tử kiwi
“Quy tắc: Y * = Y = | Thay thế: Y bằng “” con dấu việt quất “"”, con dấu việt quất * = con dấu việt quất =
“Quy tắc: Z Z + Y + | Thay thế: Y bằng “" dưa hấu "”, Z bằng “" hải cẩu trâu ""”, hải cẩu trâu trâu + dưa hấu +
“Quy tắc: * + Z Z * | Thay thế: Z bằng “” ngựa “"”, * + ngựa *
“Quy tắc: + Z Z - * | Thay thế: Z bằng “” dưa hấu kiwi “"”, + kiwi dưa hấu kiwi dưa hấu - *
“Quy tắc: = = + Z Y | Thay thế: Y bằng “” dâu chim cánh cụt “”, Z bằng “” cò “"”, = = + cò chim cánh cụt dâu
“Quy tắc: X = * * X | Thay thế: X bằng “” chuột “"”, chuột chuột = * * chuột
“Quy tắc: Y Z Y - = | Thay thế: Y bằng “” con dấu “”, Z bằng “” chuột “"”, con dấu chuột con dấu - =
“Quy tắc: + = X Y | Thay thế: X bằng “” đại bàng “”, Y bằng “” ngựa vằn chim cánh cụt “"”, + = ngựa vằn chim cánh cụt đại bàng
“Quy tắc: = X Z Z - | Thay thế: X bằng “” kiwi “”, Z bằng “” việt quất việt quất “"”, = kiwi việt quất việt quất việt quất việt quất -
“Quy tắc: = * Z Y - Y | Thay thế: Y bằng “” chuột táo “”, Z bằng “” apple “"”, = * apple rat - apple rat
“Quy tắc: X * Y * - | Thay thế: X bằng “” con dấu “”, Y bằng “” đào đào “"”, con dấu * đào đào * -
“Quy tắc: Y Y X = * | Thay thế: X bằng “” sư tử “”, Y bằng “” dưa hấu “"”, dưa hấu sư tử = *
“Quy tắc: * Y - X = Y | Thay thế: X bằng “” chuột “”, Y bằng “” chuột “"”, * chuột - chuột = chuột
“Quy tắc: = X Z Z * | Thay thế: X bằng “” con dấu ngựa vằn “”, Z bằng “” sư tử đào “"”, = hải cẩu ngựa vằn đào sư tử đào sư tử *
“Quy tắc: Y = Y + Y | Thay thế: Y bằng “” sư tử đại bàng “"”, sư tử đại bàng = sư tử đại bàng + sư tử đại bàng
“Quy tắc: + Y - X Z + | Thay thế: X bằng “” việt quất “”, Y bằng “” ngựa dâu “”, Z bằng “” dưa hấu kiwi “"”, + ngựa dâu tây - quả việt quất dưa hấu kiwi +
“Quy tắc: Y = X + = | Thay thế: X bằng “” đào dâu đen “”, Y bằng “” nho “”, nho = đào dâu đen + =
“Quy tắc: - - Z - Z | Thay thế: Z bằng “” blackberry “"”, - - blackberry - blackberry
“Quy tắc: Z + - * X Z | Thay thế: X bằng “” con dấu chuột “”, Z bằng “” chuối “"”, chuối + - * niêm phong chuối chuột
“Quy tắc: X = Z - | Thay thế: X bằng “” cá mập táo “”, Z bằng “” ngựa vằn blackberry “"”, cá mập táo = dâu đen ngựa vằn -
“Quy tắc: = = X X | Thay thế: X bằng “” rắn hổ mang kiwi “"”, = = rắn hổ mang kiwi
“Quy tắc: Z Z + X = | Thay thế: X bằng “” nho “”, Z bằng “” kiwi “"”, kiwi kiwi + nho =
“Quy tắc: = * Z X Y | Thay thế: X bằng “” táo “”, Y bằng “” lê “”, Z bằng “” cá mập “"”, = * cá mập táo lê
“Quy tắc: Z - Z + | Thay thế: Z bằng “” đào “"”, đào - đào +
“Quy tắc: X Z = + | Thay thế: X bằng “” ngựa vằn việt quất “”, Z bằng “” cá voi “"”, cá voi ngựa vằn việt quất = +
“Quy tắc: * Z Z Y = | Thay thế: Y bằng “” blackberry “”, Z bằng “” dưa hấu trâu “"”, * trâu dưa hấu trâu dưa hấu blackberry =
“Quy tắc: Z Z * + | Thay thế: Z bằng “" trâu "”, trâu trâu * +
“Quy tắc: Z = Y = Y | Thay thế: Y bằng “” dưa hấu kiwi “”, Z bằng “” lê blackberry “"”, lê blackberry = kiwi dưa hấu = kiwi dưa hấu
“Quy tắc: Z = * Y | Thay thế: Y bằng “” con dấu “”, Z bằng “” rắn hổ mang ngựa vằn “"”, rắn hổ mang ngựa vằn = * con dấu
“Quy tắc: X Y = + = | Thay thế: X bằng “” đại bàng cá voi “”, Y bằng “” cá voi “"”, cá voi đại bàng cá voi = + =
“Quy tắc: X + = Z Z | Thay thế: X bằng “” cá mập “”, Z bằng “” con dấu “"”, cá mập + = con dấu
“Quy tắc: Y - Y * + | Thay thế: Y bằng “” kiwi “"”, kiwi - kiwi * +
“Quy tắc: Y * = Z | Thay thế: Y bằng “” dâu đen “”, Z bằng “” dâu tây ngựa “"”, chuối dâu đen * = dâu ngựa
“Quy tắc: X - + X Y | Thay thế: X bằng “” lê dưa hấu “”, Y bằng “” cá voi “"”, lê dưa hấu - + cá voi lê dưa hấu
“Quy tắc: Z Y = * Y * | Thay thế: Y bằng “” đào ngựa vằn “”, Z bằng “” việt quất ngựa vằn “"”, ngựa vằn việt quất ngựa vằn đào = * đào ngựa vằn *
“Quy tắc: = = X Y Y + | Thay thế: X bằng “” nho rắn hổ mang “”, Y bằng “” kiwi blackberry “"”, = = rắn hổ mang nho kiwi blackberry kiwi blackberry +
“Quy tắc: - Z Y * | Thay thế: Y bằng “” apple blackberry “”, Z bằng “” dâu tây “”, - dâu tây táo blackberry *
“Quy tắc: = = X X | Thay thế: X bằng “” chim cánh cụt “"”, = = chim cánh cụt
“Quy tắc: X Y + Z * | Thay thế: X bằng “” sư tử đào “”, Y bằng “” ngựa vằn “”, Z bằng “” táo “"”, sư tử đào ngựa vằn + táo *
“Quy tắc: + Z * X - | Thay thế: X bằng “” cá voi “”, Z bằng “” chim cánh cụt “"”, + chim cánh cụt * cá voi -
“Quy tắc: X X + + Z + | Thay thế: X bằng “” lê blackberry “”, Z bằng “” rắn hổ mang “"”, lê dâu đen lê + + rắn hổ mang +
“Quy tắc: * * + Z X | Thay thế: X bằng “" trâu "”, Z bằng “" cá mập "”, * * + trâu cá mập
“Quy tắc: Z X Y * = | Thay thế: X bằng “” nho “”, Y bằng “” táo “”, Z bằng “” đại bàng “”, táo nho đại bàng * =
“Quy tắc: = + X Y + | Thay thế: X bằng “” dưa hấu “”, Y bằng “” dưa hấu đào “"”, = + dưa hấu đào +
“Quy tắc: + Y = Z Y | Thay thế: Y bằng “” kiwi “”, Z bằng “” chuối “"”, + kiwi = chuối kiwi
“Quy tắc: - Z X = X - | Thay thế: X bằng “” chim cánh cụt dưa hấu “”, Z bằng “” blackberry “”, - chim cánh cụt dưa hấu blackberry = chim cánh cụt dưa hấu -
“Quy tắc: * Z - Z | Thay thế: Z bằng “” dâu tây “"”, * dâu tây - dâu tây
“Quy tắc: Z X + - | Thay thế: X bằng “” rắn hổ mang chuối “”, Z bằng “” kiwi ngựa vằn “"”, rắn hổ mang chuối kiwi ngựa vằn + -
“Quy tắc: = + - X Y | Thay thế: X bằng “" chuột cánh cụt “”, Y bằng “" dâu trâu "”, = + - chim cánh cụt chuột trâu dâu
“Quy tắc: * = + Y X | Thay thế: X bằng “" trâu "”, Y bằng “" táo "”, * = + trâu táo
“Quy tắc: Y X + = | Thay thế: X bằng “” con dấu “”, Y bằng “” blackberry “”, con dấu blackberry + =
“Quy tắc: * X + Z | Thay thế: X bằng “" nho "”, Z bằng “" lê trâu "”, * nho + trâu lê
“Quy tắc: - Y * Z Y * | Thay thế: Y bằng “” chim cánh cụt đào “”, Z bằng “” cá voi “"”, - chim cánh cụt đào * chim cánh cụt đào cá voi *
“Quy tắc: X = = Z * X | Thay thế: X bằng “” chuối việt quất “”, Z bằng “” cá voi “"”, chuối việt quất = = cá voi * chuối việt quất
“Quy tắc: * X + Z | Thay thế: X bằng “” cò việt quất “”, Z bằng “” cá mập đại bàng “"”, * cò việt quất + cá mập đại bàng
“Quy tắc: + Y Z = Z | Thay thế: Y bằng “” đào “”, Z bằng “” đại bàng “"”, + đại bàng đào = đại bàng
“Quy tắc: Z Y * Y - + | Thay thế: Y bằng “” nho táo “”, Z bằng “” cá voi “"”, nho táo cá voi * nho táo - +
“Quy tắc: - = Y Z + | Thay thế: Y bằng “” dưa hấu táo “”, Z bằng “” chim cánh cụt rắn hổ mang “"”, - = táo dưa hấu rắn hổ mang chim cánh cụt +
“Quy tắc: Z X X = = | Thay thế: X bằng “” đào “”, Z bằng “” sư tử “"”, sư tử đào = =
“Quy tắc: Y + X + | Thay thế: X bằng “” chuối “”, Y bằng “” rắn hổ mang đào “"”, rắn hổ mang đào + chuối +
“Quy tắc: + + = Z Y X | Thay thế: X bằng “” con dấu “”, Y bằng “” chuột “”, Z bằng “” chuối cá mập “"”, + = hải cẩu chuột chuối cá mập
“Quy tắc: Z Z * * * | Thay thế: Z bằng “” blackberry “"”, blackberry blackberry * * *
“Quy tắc: Z Y - - | Thay thế: Y bằng “” rắn hổ mang đào “”, Z bằng “” táo ngựa “"”, rắn hổ mang đào táo ngựa - -
“Quy tắc: = - X Y Y * | Thay thế: X bằng “” đại bàng “”, Y bằng “” sư tử “"”, = - sư tử đại bàng *
“Quy tắc: + X X - | Thay thế: X bằng “” lê táo “"”, + lê táo lê -
“Quy tắc: Z * - X X | Thay thế: X bằng “” chim cánh cụt “”, Z bằng “” chim cánh cụt táo “"”, chim cánh cụt táo * - chim cánh cụt
“Quy tắc: - * * X Y | Thay thế: X bằng “” táo ngựa “”, Y bằng “” lê “"”, - * * lê táo ngựa
“Quy tắc: Z X + = Z | Thay thế: X bằng “" cá voi "”, Z bằng “" đại bàng "”, cá voi đại bàng + = đại bàng
“Quy tắc: Y X Z = + | Thay thế: X bằng “” ngựa vằn chuột “”, Y bằng “” chuột chuối “”, Z bằng “” táo “”, chuột chuối chuột ngựa vằn táo = +
“Quy tắc: - Z + Z - | Thay thế: Z bằng “” cá voi đào “"”, - cá voi đào + cá voi đào -
“Quy tắc: X Z + = | Thay thế: X bằng “" trâu đào "”, Z bằng “" chuột "”, trâu đào chuột + =
“Quy tắc: = X X = | Thay thế: X bằng “” chim cánh cụt sư tử “"”, = chim cánh cụt sư tử chim cánh cụt =
“Quy tắc: Z * - * Y | Thay thế: Y bằng “" kiwi đào "”, Z bằng “" trâu trâu ""”, trâu trâu * - * đào kiwi
“Quy tắc: X * - + Y X | Thay thế: X bằng “” chuối cá voi “”, Y bằng “” táo “"”, chuối cá voi * - + chuối cá voi táo
“Quy tắc: + Y + + Y Z | Thay thế: Y bằng “” rắn hổ mang chim cánh cụt “”, Z bằng “” dâu tây “"”, + rắn hổ mang chim cánh cụt + + chim cánh cụt rắn hổ mang dâu
“Quy tắc: Z + * Z X | Thay thế: X bằng “” con dấu chuột “”, Z bằng “” chim cánh cụt táo “"”, chim cánh cụt táo + * chuột hải cẩu táo
“Quy tắc: + X = - X | Thay thế: X bằng “” cò dưa hấu “"”, + cò dưa hấu = - cò dưa hấu
“Quy tắc: X = * = Z | Thay thế: X bằng “” apple “”, Z bằng “” rat “"”, apple = * = rat
“Quy tắc: - Z Y X = - | Thay thế: X bằng “” chuột kiwi “”, Y bởi “” cá mập “”, Z bằng “” rắn hổ mang chuột “"”, - rắn hổ mang chuột kiwi rat = -
“Quy tắc: * = X * Y | Thay thế: X bằng “" táo trâu "”, Y bằng “" cá mập chuối "”, * = táo trâu * cá mập chuối
“Quy tắc: Y Y Z + + | Thay thế: Y bằng “” táo đào “”, Z bằng “” cá voi việt quất “"”, táo đào táo đào cá voi việt quất + +
“Quy tắc: X - Y * Z = | Thay thế: X bằng “” rắn hổ mang “”, Y bằng “” cá mập cá mập “”, Z bằng “” ngựa vằn “"”, rắn hổ mang - cá mập cá mập * ngựa vằn =
“Quy tắc: + X X * Y * | Thay thế: X bằng “” con dấu sư tử “”, Y bằng “” dâu tây “"”, + con dấu sư tử hải cẩu * dâu tây *
“Quy tắc: = Z Y + | Thay thế: Y bằng “” con dấu “”, Z bằng “” chim cánh cụt “"”, = con dấu chim cánh cụt +
“Quy tắc: = Y - * Y X | Thay thế: X bằng “” cò “”, Y bằng “” ngựa vằn “"”, = ngựa vằn - * cò ngựa vằn
“Quy tắc: Z * + X Y | Thay thế: X bằng “” chuối kiwi “”, Y bằng “” ngựa vằn “”, Z bằng “” con dấu “"”, con dấu * + kiwi chuối ngựa vằn
“Quy tắc: - Z X X * * | Thay thế: X bằng “” cò kiwi “”, Z bằng “” ngựa vằn “"”, - cò ngựa vằn kiwi cò kiwi kiwi * *
“Quy tắc: Y * - = Z | Thay thế: Y bằng “" trâu "”, Z bằng “" ngựa "”, trâu * - = ngựa
“Quy tắc: Z * * + X | Thay thế: X bằng “” con dấu dâu tây “”, Z bằng “" ngựa đào "”, ngựa đào * * * + con dấu dâu
“Quy tắc: + * * X Y Z | Thay thế: X bằng “" kiwi "”, Y bằng “" trâu sư tử "”, Z bằng “" sư tử "”, + * * kiwi sư tử trâu sư tử
“Quy tắc: + + = Z Y | Thay thế: Y bằng “” kiwi “”, Z bằng “” cò rắn hổ mang “"”, + = rắn hổ mang kiwi
“Quy tắc: - + X Y + | Thay thế: X bằng “” kiwi “”, Y bằng “” lê “"”, - + kiwi lê +
“Quy tắc: Z - - + Y X | Thay thế: X bằng “” lê ngựa vằn “”, Y bằng “” đại bàng “”, Z bằng “” dâu tây “”, dâu tây - - + đại bàng ngựa vằn lê
“Quy tắc: * - Z Y = Y | Thay thế: Y bằng “” kiwi “”, Z bằng “” dâu tây “"”, * - kiwi dâu tây = kiwi
“Quy tắc: + - - Y Y Y | Thay thế: Y bằng “” quả táo đại bàng “"”, + - - đại bàng táo đại bàng táo táo đại bàng táo
“Quy tắc: - - = X X | Thay thế: X bằng “” cá mập “"”, - - = cá mập
“Quy tắc: + X X = Y | Thay thế: X bằng “” rắn hổ mang “”, Y bằng “” dưa hấu “"”, + rắn hổ mang = dưa hấu
“Quy tắc: = + Z Z - | Thay thế: Z bằng “” sư tử sư tử “"”, = + sư tử sư tử sư tử sư tử sư tử -
“Quy tắc: + Z * = Y X | Thay thế: X bằng “” cá voi “”, Y bằng “” chim cánh cụt “”, Z bằng “” blackberry “"”, + blackberry * = cá voi chim cánh cụt
“Quy tắc: Z = * X | Thay thế: X bằng “” sư tử “”, Z bằng “” blackberry “"”, blackberry = * sư tử
“Quy tắc: X Z + * - X | Thay thế: X bằng “” cá voi “”, Z bằng “” táo “"”, táo cá voi + * - cá voi
“Quy tắc: * - * Z X Z | Thay thế: X bằng “” ngựa vằn dưa hấu “”, Z bằng “” dưa hấu sư tử “”, * - * - * dưa hấu sư tử dưa hấu ngựa vằn dưa hấu dưa hấu
“Quy tắc: X + - + Z | Thay thế: X bằng “” chim cánh cụt “”, Z bằng “” blackberry “"”, chim cánh cụt + - + blackberry
“Quy tắc: X X - = Y = | Thay thế: X bằng “" ngựa vằn sư tử "”, Y bằng “" trâu "”, sư tử ngựa vằn sư tử ngựa vằn - = trâu =
“Quy tắc: = - X Z | Thay thế: X bằng “” chim cánh cụt đào “”, Z bằng “” chuột “"”, = - chuột chim cánh cụt đào
“Quy tắc: Z = Y | Thay thế: Y bằng “” dưa hấu kiwi “”, Z bằng “” cá voi nho “"”, cá voi nho = = dưa hấu kiwi
“Quy tắc: * Y + - Z | Thay thế: Y bằng “” rắn hổ mang “”, Z bằng “” cò “"”, * rắn hổ mang + - cò
